,id,timestamp,program,question_1,question_2,question_3,question_4,question_5,is_relevant,is_relevant_proc,is_positive,is_positive_proc,object,object_proc,metodist_positive_ind_1_present,metodist_positive_ind_2_knowledgepractice,metodist_positive_ind_3_knowledge,professor_positive__ind_1_speach,professor_positive__ind_2_material,professor_positive__ind_3_communication,metodist_negative_ind_1_badexamples,metodist_negative_ind_2_badmaterial,metodist_negative_ind_3_badknowledge,professor_negative__ind_1_badspeach,professor_negative__ind_2_badmaterial,professor_negative__ind_3_badcommunication,professorname,metodistname,is_critical
70,97,2024-04-16 19:00:00,Продвинутые техники программирования,1,Сессия по оптимизации SQL запросов была чрезвычайно полезна для улучшения производительности баз данных.,Нет.,Предоставить доступ к онлайн тренажеру для оттачивания навыков написания и оптимизации SQL запросов.,Глубокое понимание индексов и их влияние на производительность.,1,0.9921140670776367,1,0.9776907563209534,1,0.5275402665138245,0,0,0,0,0,0,0,0,0,0,0,0,Кузнецова,Семенов,0
71,98,2024-04-17 10:30:00,Новейшие тенденции в IT,1,Презентация о развитии кибербезопасности и новых методах защиты информации была крайне информативной.,Нет.,"Предложить серию вебинаров, посвященных подробному разбору инструментов защиты данных.",Новые технологии в области защиты персональных данных.,1,0.9918158650398254,1,0.9776179194450378,2,0.7344752550125122,0,0,0,0,0,0,0,0,0,0,0,0,Михайлова,Егоров,0
72,99,2024-04-17 20:00:00,Продвинутые техники программирования,1,"Сессия по безопасности веб-приложений была не только образовательной, но и очень актуальной.","Да, детали XSS и CSRF атак были сложными для понимания.","Разработать серию вебинаров, посвященных только кибербезопасности, с практическими упражнениями и тестами.",Продвинутые методы защиты данных и инфраструктуры.,1,0.9918426275253296,1,0.9769974946975708,1,0.5370367765426636,0,0,0,0,0,0,0,0,0,0,0,0,Васильева,Семенов,1
73,100,2024-04-18 11:00:00,Новейшие тенденции в IT,1,Освещение прогресса в технологии блокчейн и её применения в различных секторах экономики было проницательным.,"Да, объяснения функционирования сетей блокчейн.",Подробнее разбирать техническую сторону блокчейн технологий на примерах успешных проектов.,"Разработка на базе Ethereum, включая создание смарт-контрактов.",1,0.9920353293418884,1,0.9750890135765076,2,0.749518096446991,0,0,0,1,0,0,0,0,0,0,0,0,Михайлова,Егоров,0
74,101,2024-04-18 12:00:00,Новейшие тенденции в IT,1,Обсуждение влияния квантовых компьютеров на будущее криптографии было захватывающим.,Сложности с пониманием квантовой физики.,Обеспечить базовый вводный курс по квантовой механике перед этой темой.,Квантовое программирование и его будущее.,1,0.9921948909759521,1,0.9769869446754456,2,0.7853547930717468,0,0,0,1,0,0,0,0,0,0,0,0,Михайлова,Егоров,0
75,102,2024-04-18 15:45:00,Новейшие тенденции в IT,1,Презентация о влиянии блокчейн технологий на безопасность данных была крайне просветляющей.,"Да, концепты шифрования в блокчейне.","Организовать тематический вебинар о криптографии, используемой в блокчейне.",Разработка смарт-контрактов и их безопасность.,1,0.9918396472930908,1,0.9777683615684509,2,0.7581201791763306,0,0,0,1,0,0,0,0,0,0,0,0,Михайлова,Егоров,0
76,103,2024-04-18 20:00:00,Новейшие тенденции в IT,1,Введение в технологии распределенных систем и их применение в разных отраслях было захватывающим.,"Да, концепции консенсуса в блокчейне были трудными для понимания.",Организовать технические воркшопы по каждой теме вебинара для глубокого понимания.,Распределенные вычисления и их применение в больших данных.,1,0.992412269115448,1,0.9789976477622986,2,0.770021378993988,0,0,0,1,0,0,0,0,0,0,0,0,Попов,Егоров,0
77,104,2024-04-19 12:00:00,Основы программирования,1,Изучение основных принципов создания пользовательских интерфейсов на React было практичным и актуальным.,"Да, сложности с Redux для управления состоянием.",Устроить дополнительные вебинары по Redux и контексту React для глубокого понимания управления состоянием.,Разработка сложных интерактивных веб-приложений на React.,1,0.9923120141029358,1,0.9769383072853088,0,0.4576972723007202,0,0,0,1,1,0,0,0,0,0,0,0,Петров,Лебедев,0
78,105,2024-04-19 12:02:00,Основы программирования,1,Ильнар Шафигуллин большой молодец,нет,Чаще ставить преподователя на вебинары,Больше примеров с уточкой,1,0.9666289687156677,1,0.9377954006195068,2,0.6816074252128601,0,0,0,0,0,1,0,0,0,0,0,0,Петров,Лебедев,0
79,106,2024-04-19 16:00:00,Новейшие тенденции в IT,1,Обсуждение влияния больших данных на современный маркетинг было очень проницательным.,"Да, вопросы обработки и анализа больших объемов данных были запутанными.","Предложить курсы по аналитике данных с использованием специализированных инструментов, таких как Hadoop или Spark.",Методы визуализации данных для бизнес-анализа.,1,0.9925593137741089,1,0.9779646396636963,2,0.7407873272895813,0,0,0,1,1,0,0,0,0,0,0,0,Михайлова,Егоров,0
80,107,2024-04-19 17:45:00,Новейшие тенденции в IT,1,Презентация новых технологий в визуализации данных.,Некоторые примеры были слишком сложны для понимания.,"Менее загруженные слайды, больше практики.",Интерактивная визуализация данных.,1,0.9910175800323486,1,0.9740989804267883,2,0.6304664015769958,0,0,0,0,0,0,0,0,0,0,0,0,Попов,Егоров,0
81,108,2024-04-20 09:45:00,Основы программирования,1,Обучение эффективным методам написания чистого кода в Python было крайне полезным для моих проектов.,Нет.,Устроить регулярные сессии код-ревью с опытными разработчиками для обмена опытом и лучшими практиками.,Принципы разработки программного обеспечения по методологии Agile.,1,0.9921687245368958,1,0.9781391024589539,0,0.5298246741294861,0,0,0,1,1,0,0,0,0,0,0,0,Иванов,Лебедев,1
82,109,2024-04-20 09:55:00,Основы программирования,1,Понравилась харизма преподователя,"нет, не было",Все прошло хорошо,Про алгоритмы интересно и устройство процессора,1,0.9842750430107117,1,0.7964675426483154,2,0.6954084634780884,0,0,0,0,0,1,0,0,0,0,0,0,Петров,Лебедев,0
83,110,2024-04-20 09:56:00,Основы программирования,1,Преподователь супер,нет,Преподователь вырулил все недостатки,"Не знаю, дальше по программе обучения двигаться",1,0.984020471572876,1,0.7502551674842834,2,0.6627900004386902,0,0,0,0,0,1,0,0,0,0,0,0,Петров,Лебедев,0
84,111,2024-04-20 13:00:00,Основы программирования,1,"Занятие по алгоритмам сортировки было насыщено множеством практических примеров, что упростило понимание.","Да, быстрая сортировка требовала более тщательного объяснения.",Предложить дополнительные видеоуроки по каждому типу алгоритмов сортировки с подробными примерами кода.,"Продвинутые алгоритмы и структуры данных, такие как деревья и графы.",1,0.9924015998840332,1,0.97954922914505,0,0.6178852319717407,0,0,0,1,0,0,0,0,0,0,0,0,Петров,Лебедев,0
85,112,2024-04-20 13:00:00,Основы программирования,1,Разбор методов коллекций в Java был исключительно полезен для понимания работы со списками и множествами.,"Да, методы Stream API.","Разработать детальный курс по работе с Stream API в Java, включая практические примеры.",Глубокое изучение многопоточности в Java.,1,0.9928463101387024,1,0.9788107872009277,0,0.6429458260536194,0,0,0,0,1,0,0,0,0,0,0,0,Петров,Лебедев,0
86,113,2024-04-20 15:00:00,Основы программирования,1,Интерактивный подход преподавателя позволил лучше усвоить информацию.,"Нет, все было понятно.",Хотелось бы более подробные материалы для самостоятельного изучения.,Больше практических задач на алгоритмы.,1,0.9882738590240479,1,0.9713852405548096,0,0.6910429000854492,0,0,0,1,0,1,0,0,0,0,0,0,Петров,Лебедев,0
87,114,2024-04-21 09:00:00,Основы программирования,1,Чёткое объяснение парадигмы функционального программирования на примере Scala.,"Да, концепции чистых функций и неизменяемости были запутанными.",Устраивать сессии вопросов и ответов после сложных тем.,Функциональные языки программирования как Haskell.,1,0.9922865629196167,1,0.9759159088134766,0,0.6850369572639465,0,0,0,0,0,0,0,0,0,0,0,0,Петров,Лебедев,1
88,115,2024-04-21 12:00:00,Основы программирования,1,"Освежающий подход к изучению JavaScript, особенно в части ES6+ функционала, был весьма стимулирующим.",Нет.,Увеличить количество заданий на кодирование в реальном времени для лучшего усвоения материала.,"Современные фронтенд технологии, такие как React и Angular.",1,0.9922569990158081,1,0.9784877896308899,0,0.6909496784210205,0,0,0,1,0,0,0,0,0,0,0,0,Петров,Лебедев,0
89,116,2024-04-21 20:30:00,Основы программирования,1,Задания для самостоятельной работы помогли закрепить материал.,"Да, темы объектно-ориентированного программирования были сложными.",Больше времени на практические упражнения.,Работа с исключениями в программировании.,1,0.9918210506439209,1,0.9730128049850464,0,0.7012948989868164,0,0,0,0,0,1,0,0,0,0,0,0,Петров,Лебедев,1
90,117,2024-04-21 20:32:00,Основы программирования,1,Понравилось как он рассказывает,Ха затруднения,Удалите эти эфиры все и займитесь нормальным уже делом,Не надо мне тему,0,0.5256068706512451,0,0.8906829357147217,2,0.6342140436172485,0,0,0,0,0,0,0,0,0,0,0,0,Иванов,Лебедев,0
91,118,2024-04-22 18:30:00,Продвинутые техники программирования,1,Глубина разбора кейсов из реальной практики.,Некоторые технические термины не были объяснены.,Больше времени уделять базовым концепциям для новичков.,Искусственный интеллект в области здравоохранения.,1,0.9918701648712158,1,0.9733926057815552,1,0.42987555265426636,0,0,0,0,0,0,0,0,0,0,0,0,Кузнецова,Семенов,0
92,119,2024-04-22 19:00:00,Новейшие тенденции в IT,1,Разнообразие примеров из реального мира помогло лучше понять применение теории.,"Да, разбор паттернов проектирования был слишком быстрым.","Меньше теории, больше практики. Сделать вебинары более интерактивными с возможностью задавать вопросы в реальном времени.",Изучение разработки виртуальной и дополненной реальности.,1,0.9920691251754761,1,0.9771206378936768,0,0.5402157306671143,0,0,0,1,0,1,0,0,0,0,0,0,Михайлова,Егоров,0
93,120,2024-04-22 19:02:00,Новейшие тенденции в IT,1,Преподователь Арбуз,Преподователь красный внутри,Арбуз хочу,"Арбуз я покушать я люблю, семки все я исплюю",1,0.5093777775764465,0,0.9006053805351257,2,0.6790509819984436,0,0,0,0,0,0,0,0,0,0,0,0,Михайлова,Егоров,0
94,121,2024-04-22 19:04:00,Новейшие тенденции в IT,1,Я не люблю все это,Шли вы,Платити мани мани студентам,как мани поднять,1,0.613561749458313,0,0.8982617855072021,2,0.538641631603241,0,0,0,0,0,0,0,0,0,0,0,0,Михайлова,Егоров,0
95,122,2024-04-23 14:00:00,Продвинутые техники программирования,1,Разбор техник оптимизации кода на C++ был очень глубоким и практичным.,Нет.,Предложить материалы для дополнительного изучения сложных тем.,Оптимизация и производительность программ на низком уровне.,1,0.9921990036964417,1,0.9772466421127319,0,0.5826583504676819,0,0,0,0,0,0,0,0,0,0,0,0,Кузнецова,Семенов,0
96,123,2024-04-24 10:00:00,Основы программирования,1,Примеры реального использования паттернов проектирования в .NET были очень ценными.,Нет.,"Больше времени на анализ кода в примерах, меньше теории.",Паттерны проектирования для микросервисных архитектур.,1,0.9921907782554626,1,0.9695529341697693,0,0.6426011323928833,0,0,0,0,0,0,0,0,0,0,0,0,Петров,Лебедев,0
97,124,2024-04-24 10:20:00,Основы программирования,1,Зазнался преподователь,Напыщенный преподователь,Уважение,Вопрос к воспитанию преподователя,1,0.973222553730011,1,0.6579130291938782,2,0.4819665253162384,0,0,0,0,0,0,0,0,0,0,0,0,Петров,Лебедев,0
98,125,2024-04-24 10:22:00,Основы программирования,1,"Преподователь раз такой умный , зачем за гроши работаешь?",Унижение,Уважать студентов и не хамить,К преподователю,1,0.9824360609054565,1,0.9298275113105774,2,0.6930493116378784,0,0,0,0,0,0,0,0,0,0,0,0,Петров,Лебедев,0
99,126,2024-04-24 18:00:00,Новейшие тенденции в IT,1,Очень понравилось изучение применения технологий виртуальной реальности в образовании.,"Да, тема разработки контента для VR была недостаточно подробна.",Организовать практические занятия по созданию VR-контента.,Разработка приложений для виртуальной реальности.,1,0.9908632040023804,1,0.9763968586921692,2,0.7440746426582336,0,0,0,0,1,0,0,0,0,0,0,0,Попов,Егоров,0
100,127,2024-04-25 20:00:00,Новейшие тенденции в IT,1,Очень подробный разбор сложных концепций.,Сложности с пониманием асинхронного программирования.,Нужно больше примеров из жизни.,Разработка мобильных приложений.,1,0.9904807209968567,0,0.893889844417572,2,0.5646498203277588,0,0,0,0,0,0,0,0,0,0,0,0,Попов,Егоров,1
